Year,County,New,Renewal,Issued,Refused,Withdrawn
2010,Australia,1,0,1,0,0
2010,Belfast,0,2,2,0,0
2010,Brazil,1,0,1,0,0
2010,Carlow,37,42,79,5,0
2010,Cavan,25,75,100,10,3
2010,Clare,57,77,134,18,4
2010,Cork,262,322,584,79,21
2010,Donegal,34,53,87,22,2
2010,Dublin,1852,1924,3776,451,101
2010,England,2,1,3,1,2
2010,Galway,132,145,277,50,3
2010,India,140,15,155,0,1
2010,Israel,0,2,2,0,0
2010,Japan,1,1,2,1,0
2010,Kerry,48,40,88,6,6
2010,Kildare,331,371,702,85,11
2010,Kilkenny,49,43,92,10,2
2010,Laois,22,28,50,7,1
2010,Leitrim,8,15,23,6,1
2010,Limerick,84,113,197,26,2
2010,Longford,20,10,30,13,0
2010,Louth,45,60,105,14,5
2010,Mayo,33,47,80,16,1
2010,Meath,74,148,222,21,9
2010,Monaghan,12,29,41,2,0
2010,New Zealand,0,1,1,0,0
2010,Offaly,29,22,51,3,0
2010,Philippines,1,0,1,0,0
2010,Roscommon,16,15,31,8,1
2010,Sligo,15,30,45,6,3
2010,Tipperary,116,115,231,29,6
2010,United Kingdom,2,0,2,0,0
2010,United States of America,3,0,3,0,0
2010,U.S.A.,2,0,2,0,7
2010,Waterford,46,51,97,26,3
2010,Westmeath,36,68,104,16,2
2010,Wexford,45,51,96,13,5
2010,Wicklow,91,126,217,29,11
2011,Antrim,0,1,1,5,0
2011,Canada,0,0,0,1,0
2011,Carlow,11,20,31,7,1
2011,Cavan,16,28,44,6,0
2011,Clare,48,33,81,20,4
2011,Cork,261,156,417,64,12
2011,Derry,1,0,1,0,0
2011,Donegal,37,28,65,12,6
2011,Dublin,1669,1048,2717,534,108
2011,England,0,1,1,0,0
2011,Galway,142,64,206,36,4
2011,India,11,2,13,0,1
2011,Ireland,1,1,2,0,0
2011,Japan,1,0,1,0,0
2011,Kerry,59,30,89,20,2
2011,Kildare,179,145,324,51,20
2011,Kilkenny,33,20,53,15,2
2011,Laois,16,15,31,2,0
2011,Leitrim,1,2,3,4,0
2011,Limerick,100,51,151,17,6
2011,Longford,10,14,24,5,1
2011,Louth,54,19,73,15,2
2011,Mayo,17,25,42,10,5
2011,Meath,36,62,98,25,2
2011,Monaghan,11,20,31,12,1
2011,New Zealand,1,0,1,0,0
2011,Offaly,9,5,14,10,2
2011,Philippines,1,0,1,0,2
2011,Roscommon,27,6,33,2,0
2011,Sligo,20,12,32,7,1
2011,Tipperary,78,50,128,38,4
2011,Tyrone,0,0,0,0,1
2011,United Kingdom,1,0,1,0,0
2011,United States of America,6,0,6,1,0
2011,Waterford,49,24,73,16,5
2011,Westmeath,202,55,257,26,2
2011,Wexford,24,23,47,19,2
2011,Wicklow,52,53,105,26,5
2011,(Not Categorized),0,3,3,1,0
2012,Carlow,7,9,16,5,7
2012,Cavan,11,23,34,14,0
2012,Clare,34,14,48,15,1
2012,Cork,255,103,358,58,10
2012,Donegal,31,7,38,9,0
2012,Down,0,1,1,0,0
2012,Dublin,1778,515,2293,420,149
2012,Galway,173,40,213,27,4
2012,India,6,2,8,0,1
2012,Ireland,3,1,4,1,0
2012,Kerry,32,13,45,11,4
2012,Kildare,124,81,205,31,15
2012,Kilkenny,17,10,27,8,3
2012,Laois,14,9,23,7,0
2012,Leitrim,3,2,5,2,0
2012,Limerick,55,39,94,13,1
2012,Longford,14,4,18,5,1
2012,Louth,31,12,43,16,2
2012,Mayo,15,18,33,11,1
2012,Meath,28,31,59,33,5
2012,Monaghan,14,9,23,10,1
2012,Offaly,12,5,17,6,0
2012,Roscommon,15,3,18,6,0
2012,Sligo,20,12,32,5,0
2012,Tipperary,36,36,72,33,7
2012,United Kingdom,2,1,3,2,0
2012,United States of America,3,0,3,0,0
2012,Waterford,16,17,33,13,2
2012,Westmeath,99,21,120,22,2
2012,Wexford,29,18,47,14,30
2012,Wicklow,40,32,72,30,0
2012,(Not Categorized),2,0,2,2,0
2013,Carlow,8,6,14,2,0
2013,Cavan,8,9,17,4,0
2013,Clare,47,19,66,9,5
2013,Cork,257,94,351,42,12
2013,Donegal,48,8,56,4,1
2013,Dublin,1914,456,2370,295,77
2013,Galway,138,33,171,19,5
2013,India,1,1,2,0,6
2013,Ireland,2,0,2,0,0
2013,Kerry,28,14,42,8,3
2013,Kildare,162,54,216,28,0
2013,Kilkenny,8,5,13,3,0
2013,Laois,7,3,10,8,1
2013,Leitrim,2,0,2,0,1
2013,Limerick,52,9,61,12,0
2013,Longford,10,5,15,6,0
2013,Louth,23,5,28,7,1
2013,Mayo,10,6,16,5,1
2013,Meath,28,9,37,17,1
2013,Monaghan,5,3,8,2,0
2013,Offaly,4,5,9,4,1
2013,Roscommon,23,2,25,5,1
2013,Sligo,16,8,24,7,0
2013,Tipperary,27,17,44,10,0
2013,United Kingdom,1,0,1,3,0
2013,United States of America,0,0,0,1,0
2013,Waterford,21,9,30,4,1
2013,Westmeath,128,16,144,10,2
2013,Wexford,25,9,34,13,0
2013,Wicklow,31,24,55,13,3
2014,Carlow,5,3,8,6,1
2014,Cavan,40,11,51,4,2
2014,Clare,51,6,57,11,2
2014,Cork,342,52,394,44,13
2014,Donegal,112,7,119,7,2
2014,Dublin,2600,346,2946,270,85
2014,Galway,166,33,199,20,2
2014,India,8,2,10,0,1
2014,Ireland,3,0,3,0,0
2014,Japan,1,0,1,0,0
2014,Kerry,91,17,108,4,2
2014,Kildare,445,25,470,36,13
2014,Kilkenny,43,1,44,3,0
2014,Laois,30,10,40,5,2
