Year,Month,Sector,New,Renewal,Issued,Refused,Withdrawn
2010,Jan,Agriculture & Fisheries,9,28,37,10,2
2010,Jan,Catering,38,83,121,41,9
2010,Jan,Domestic,6,5,11,3,0
2010,Jan,Education,4,10,14,2,0
2010,Jan,Entertainment,6,4,10,0,0
2010,Jan,Industry,24,36,60,9,2
2010,Jan,Medical & Nursing,123,101,224,17,3
2010,Jan,Service Industry,124,145,269,34,4
2010,Jan,Sport,4,3,7,3,0
2010,Feb,Agriculture & Fisheries,8,25,33,18,3
2010,Feb,Catering,50,72,122,23,1
2010,Feb,Domestic,1,9,10,1,0
2010,Feb,Education,7,8,15,2,0
2010,Feb,Entertainment,1,0,1,1,0
2010,Feb,Industry,38,31,69,9,1
2010,Feb,Medical & Nursing,63,102,165,15,1
2010,Feb,Service Industry,126,146,272,32,4
2010,Feb,Sport,6,0,6,2,1
2010,Mar,Agriculture & Fisheries,10,20,30,14,0
2010,Mar,Catering,40,67,107,56,9
2010,Mar,Domestic,1,8,9,2,0
2010,Mar,Education,1,11,12,3,1
2010,Mar,Entertainment,2,1,3,0,0
2010,Mar,Industry,45,30,75,12,2
2010,Mar,Medical & Nursing,52,117,169,21,1
2010,Mar,Service Industry,82,164,246,56,12
2010,Mar,Sport,8,1,9,3,0
2010,Apr,Agriculture & Fisheries,20,16,36,4,0
2010,Apr,Catering,43,43,86,18,4
2010,Apr,Domestic,2,3,5,1,0
2010,Apr,Education,6,7,13,0,0
2010,Apr,Entertainment,6,2,8,0,0
2010,Apr,Industry,36,11,47,9,2
2010,Apr,Medical & Nursing,50,79,129,9,4
2010,Apr,Service Industry,163,127,290,22,10
2010,Apr,Sport,6,6,12,1,0
2010,May,Agriculture & Fisheries,4,9,13,2,0
2010,May,Catering,47,45,92,19,5
2010,May,Domestic,0,4,4,2,0
2010,May,Education,8,4,12,2,1
2010,May,Entertainment,2,2,4,0,0
2010,May,Industry,45,22,67,4,0
2010,May,Medical & Nursing,34,69,103,3,2
2010,May,Service Industry,125,103,228,30,7
2010,Jun,Agriculture & Fisheries,15,36,51,12,0
2010,Jun,Catering,86,130,216,54,19
2010,Jun,Domestic,6,6,12,1,2
2010,Jun,Education,10,23,33,5,2
2010,Jun,Entertainment,1,2,3,0,0
2010,Jun,Industry,67,41,108,13,4
2010,Jun,Medical & Nursing,89,202,291,57,4
2010,Jun,Service Industry,204,264,468,73,18
2010,Jun,Sport,6,6,12,4,0
2010,Jul,Agriculture & Fisheries,9,25,34,10,1
2010,Jul,Catering,69,80,149,25,2
2010,Jul,Domestic,5,3,8,2,2
2010,Jul,Education,6,14,20,5,0
2010,Jul,Entertainment,2,3,5,0,0
2010,Jul,Industry,65,29,94,11,2
2010,Jul,Medical & Nursing,104,134,238,22,5
2010,Jul,Service Industry,160,186,346,74,6
2010,Jul,Sport,1,4,5,1,0
2010,Aug,Agriculture & Fisheries,15,38,53,2,0
2010,Aug,Catering,63,39,102,41,6
2010,Aug,Domestic,1,3,4,1,0
2010,Aug,Education,14,4,18,0,0
2010,Aug,Entertainment,1,0,1,2,0
2010,Aug,Industry,41,12,53,6,1
2010,Aug,Medical & Nursing,75,42,117,21,2
2010,Aug,Service Industry,131,95,226,34,6
2010,Aug,Sport,4,2,6,1,0
2010,Aug,Agriculture & Fisheries,13,19,32,2,0
2010,Aug,Catering,76,81,157,83,2
2010,Aug,Domestic,4,3,7,3,0
2010,Aug,Education,8,6,14,3,1
2010,Aug,Entertainment,1,4,5,1,0
2010,Aug,Industry,33,25,58,8,4
2010,Aug,Medical & Nursing,69,93,162,20,2
2010,Aug,Service Industry,204,169,373,67,6
2010,Aug,Sport,11,2,13,3,0
2010,Oct,Agriculture & Fisheries,10,9,19,5,0
2010,Oct,Catering,58,67,125,46,2
2010,Oct,Domestic,0,5,5,4,1
2010,Oct,Education,4,6,10,4,0
2010,Oct,Entertainment,2,1,3,0,0
2010,Oct,Industry,28,21,49,10,1
2010,Oct,Medical & Nursing,83,91,174,13,0
2010,Oct,Service Industry,135,143,278,50,9
2010,Oct,Sport,3,0,3,0,1
2010,Nov,Agriculture & Fisheries,3,11,14,1,1
2010,Nov,Catering,36,32,68,11,2
2010,Nov,Domestic,5,4,9,0,0
2010,Nov,Education,1,2,3,2,0
2010,Nov,Entertainment,2,2,4,1,0
2010,Nov,Industry,21,4,25,5,2
2010,Nov,Medical & Nursing,34,33,67,3,2
2010,Nov,Service Industry,71,41,112,19,3
2010,Nov,Sport,1,1,2,0,0
2010,Dec,Agriculture & Fisheries,4,4,8,1,0
2010,Dec,Catering,12,15,27,4,0
2010,Dec,Domestic,2,0,2,0,0
2010,Dec,Education,5,2,7,1,0
2010,Dec,Entertainment,0,1,1,0,0
2010,Dec,Exchange Agreements,2,0,2,0,0
2010,Dec,Industry,24,7,31,4,1
2010,Dec,Medical & Nursing,21,24,45,8,1
